State FIPS Code,County FIPS Code,5-digit FIPS Code,State Abbreviation,Name,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Low birthweight raw value,Adult smoking raw value,Adult obesity raw value,Food environment index raw value,Physical inactivity raw value,Access to exercise opportunities raw value,Excessive drinking raw value,Alcohol-impaired driving deaths raw value,Sexually transmitted infections raw value,Teen births raw value,Uninsured raw value,Primary care physicians raw value,Dentists raw value,Mental health providers raw value,Preventable hospital stays raw value,Mammography screening raw value,Flu vaccinations raw value,High school completion raw value,Some college raw value,Unemployment raw value,Children in poverty raw value,Income inequality raw value,Children in single-parent households raw value,Social associations raw value,Violent crime raw value,Injury deaths raw value,Air pollution - particulate matter raw value,Drinking water violations raw value,Severe housing problems raw value,Percentage of households with high housing costs,Driving alone to work raw value,Long commute - driving alone raw value,COVID-19 age-adjusted mortality raw value,Life expectancy raw value,Premature age-adjusted mortality raw value,Child mortality raw value,Frequent physical distress raw value,Frequent mental distress raw value,Diabetes prevalence raw value,HIV prevalence raw value,Food insecurity raw value,Limited access to healthy foods raw value,Drug overdose deaths raw value,Motor vehicle crash deaths raw value,Insufficient sleep raw value,Uninsured adults raw value,Uninsured children raw value,Other primary care providers raw value,High school graduation raw value,Disconnected youth raw value,Reading scores raw value,Reading scores (Black),Reading scores (Hispanic),Reading scores (White),Math scores raw value,School segregation raw value,School funding adequacy raw value,Gender pay gap raw value,Median household income raw value,Children eligible for free or reduced price lunch raw value,Residential segregation - Black/white raw value,Residential segregation - non-white/white raw value,Childcare cost burden raw value,Childcare centers raw value,Homicides raw value,Suicides raw value,Firearm fatalities raw value,Juvenile arrests raw value,Traffic volume raw value,Homeownership raw value,Severe housing cost burden raw value,Broadband access raw value,Population raw value,% below 18 years of age raw value,% 65 and older raw value,% non-Hispanic Black raw value,% American Indian & Alaska Native raw value,% Asian raw value,% Native Hawaiian/Other Pacific Islander raw value,% Hispanic raw value,% non-Hispanic white raw value,% not proficient in English raw value,% female raw value,% rural raw value
1,1,1001,AL,Autauga County,8027.394727,0.201,4.510042404,5.419067716,0.0973815192,0.197,0.353,6.5,0.322,0.6275860805,0.1616123561,0.3214285714,578.1,22.97694569,0.0935123905,0.0004474753,0.0003384095,0.0003740315,4931,0.42,0.42,0.8871368199,0.607217355,0.0488427897,0.149,5.135445878,0.2760404778,12.88728991,272.2822201,68.57306981,9.5,0,0.1472886574,0.1271640363,0.8670888613,0.405,82.01289273,76.58564973,427.0733259,51.49625222,0.142,0.171,0.112,222.1,0.157,0.1302099797,8.352474421,19.00959985,0.3844333214,0.1196066271,0.0265310635,0.0004452756,0.89,,3.12696818,2.605717333,,3.328546491,2.91727955,0.05526245,-2618.608,0.7220387679,67565,0.4548245614,28.20431944,24.90795747,0.1752682602,4.636785162,5.908389142,17.7372965,17.59204409,8.064516129,155.0955235,0.7462312723,0.1383276945,0.8270791781,56145,0.2318461127,0.1617597293,0.2031881735,0.0047377327,0.0117018434,0.0010864725,0.0310089946,0.731659097,0.0069269521,0.5150770327,0.4200216232
1,3,1003,AL,Baldwin County,8118.358206,0.172,4.168866136,5.173915124,0.0838573118,0.199,0.296,7.4,0.276,0.745079966,0.2150352994,0.3220338983,336,23.73432001,0.109067738,0.0006898591,0.0004884708,0.0009943869,3578,0.44,0.46,0.9047138458,0.6553210756,0.0560648182,0.124,4.386477827,0.1836382244,10.12390586,203.6603963,74.83507888,7.2,0,0.1242050369,0.1098625915,0.8299656018,0.379,50.0227993,77.72472918,381.7020314,51.16978345,0.125,0.161,0.094,172.9,0.134,0.0793677936,17.5976783,16.84994323,0.3637796048,0.137782924,0.0340819821,0.0006978154,0.9,0.0611230259,3.192380762,2.569883503,2.685681918,3.374600785,3.037911538,0.0901750956,333.9424,0.7474647914,71135,0.4613228529,39.84129977,28.94813894,0.1711674984,5.518394649,3.276377851,19.64588301,14.01440278,25.89285714,133.6048422,0.7699977394,0.1145081422,0.850690685,229287,0.2112854196,0.2158212197,0.0847889326,0.0077980871,0.0110298447,0.0006629246,0.046339304,0.8330825559,0.0077206791,0.5158905651,0.4227909911
1,5,1005,AL,Barbour County,12876.76032,0.311,5.884414634,6.109899329,0.1191467222,0.278,0.404,5.7,0.416,0.498379284,0.1392764247,0.375,895.2,34.70031546,0.1299147324,0.0003645791,0.0003660173,0.0002440115,4548,0.46,0.36,0.7473169635,0.3835575486,0.0704553395,0.375,5.994926933,0.5404059747,7.291582273,414.2778607,82.14305652,9,0,0.1545998911,0.1323529412,0.840327294,0.368,110.281573,72.86721012,589.5660946,82.70493797,0.191,0.205,0.165,498.2,0.207,0.1043317167,,27.96936795,0.408895893,0.1684114324,0.0355892649,0.0006100289,0.8482600733,,2.389161313,2.14283534,2.146840076,2.848986081,2.00862944,0.0370072178,-15097.365,0.7294148923,38866,0.6020615337,20.43617042,19.35065328,0.2431688365,6.006006006,11.18774718,14.26705236,25.5201729,23.75,102.4596728,0.6195022527,0.1238553651,0.6463205321,24589,0.2047256903,0.2026109236,0.4780999634,0.0069949978,0.0045548823,0.0020334296,0.0467282118,0.452641425,0.0182746687,0.4718370003,0.677896347
1,7,1007,AL,Bibb County,,0.25,5.161337369,5.846095721,0.1003307607,0.252,0.412,7.6,0.377,0.1060440759,0.1601675952,0.2142857143,540.3,34.16687299,0.1099324976,0.0005805126,0.0002710517,0.0002710517,6329,0.37,0.33,0.8088446863,0.3777040897,0.0663194444,0.219,5.394051358,0.3670411985,8.930963651,89.34912598,103.3490436,9.4,0,0.1118421053,0.0940652819,0.8765264586,0.553,147.486703,73.60936309,567.508146,82.23233375,0.164,0.191,0.127,208.4,0.163,0.0044586621,23.90557299,26.05987415,0.4011005848,0.1389869469,0.0308721934,0.001445609,0.92,,2.688775131,2.213056213,,2.824307507,2.56336673,0.0920696582,-4279.571,0.7850586656,50907,0.5914276904,47.81563303,45.9080373,0.2140570059,3.990422985,9.534100299,17.42273562,17.81880062,,26.58874815,0.7477613996,0.0939306358,0.7612618818,22136,0.1999457897,0.1707625587,0.2097940007,0.0046078786,0.002574991,0.0012197326,0.0293187568,0.741778099,0.0035509682,0.4681514275,0.6835260746
1,9,1009,AL,Blount County,11191.47432,0.232,4.948392657,5.738238349,0.0785988894,0.222,0.387,7.8,0.333,0.23376714,0.1617350466,0.1505376344,404.7,29.50979595,0.1427102744,0.0002248124,0.0001900517,0.0001727742,4260,0.37,0.4,0.8282513689,0.5626659014,0.0408742549,0.189,4.764969276,0.2255841821,7.436101408,482.6906109,104.7493276,9.4,0,0.1046116505,0.0791510612,0.8834157978,0.598,117.4585623,74.1714626,532.8364817,71.17304415,0.156,0.183,0.114,72.3,0.145,0.0251220602,17.86280216,30.6434633,0.3884710906,0.1806290505,0.0467602356,0.0002591614,0.9541150442,0.1367632693,2.901714404,,2.56462632,2.977789554,2.781496533,0.1084336851,-574.207,0.8535882835,55203,0.5240126901,52.21171254,30.14348031,0.2185569625,4.564907275,7.166616418,20.51706131,20.39673376,6.451612903,43.30956196,0.7607639708,0.0877586383,0.7962273049,57879,0.2280274365,0.1900343821,0.0152732425,0.0062889822,0.0038010332,0.0012094197,0.0954404879,0.8679832063,0.014764977,0.5055719691,0.8995150204
1,11,1011,AL,Bullock County,11406.35109,0.311,5.512430487,5.694070273,0.1506228766,0.252,0.438,4.6,0.413,0.0187832142,0.1344554277,0.347826087,742.5,40.34427111,0.11099631,0.0002970003,0.0002004812,0.0002004812,3775,0.41,0.28,0.7494103774,0.2808249232,0.0550020756,0.387,8.107064622,0.5885209713,7.92000792,311.0273327,98.25885312,9,0,0.1731301939,0.1719457014,0.8047678795,0.471,159.5257887,73.81468226,556.1102965,,0.18,0.189,0.178,608.4,0.157,0.3233919039,,49.76087137,0.4465271376,0.1475752508,0.0238208671,0.0009021652,0.925,,2.110535605,2.125708194,,,1.96826778,0.0081406272,-19216.87,0.6832526011,33124,0.7546264565,30.61553882,27.51758597,0.3575051322,8.417508418,15.2047107,,25.54730181,12.22222222,40.41545917,0.7381160688,0.1275964392,0.6062992126,9976,0.2081996792,0.1767241379,0.6868484362,0.0088211708,0.0027064956,0.0076182839,0.088712911,0.2109061748,0.0156592546,0.4525862069,0.5137438153
1,13,1013,AL,Butler County,12717.03016,0.271,5.339867207,5.951548419,0.1282853567,0.246,0.397,6.9,0.407,0.4163842078,0.1355700813,0.3518518519,1064.4,38.78252332,0.115727003,0.0002570958,0.0003589007,0.0006665299,5885,0.39,0.28,0.8635311143,0.3712137038,0.0884496466,0.308,5.70442037,0.4110429448,9.255450432,581.5840052,105.6320146,8.8,0,0.1251862891,0.1050613497,0.8636939448,0.371,170.7849871,73.47327905,606.5127483,80.17868392,0.173,0.196,0.151,396.2,0.165,0.0691828694,,38.15557395,0.4197116999,0.1466570162,0.0336715867,0.0008203445,0.925,,2.526134007,2.334512306,,2.990664659,2.118341767,0.1126745388,-10514.71,0.8178666878,42268,0.7984417344,28.89045682,29.89247915,0.2801646636,4.306632214,19.43774522,13.63356792,26.40800366,,58.023787,0.7327417657,0.1083184693,0.7360505339,19504,0.2205701395,0.2138535685,0.4460110747,0.0039479081,0.0136382281,0.0004101723,0.0165607055,0.509792863,0.0031780232,0.5342493847,0.7123215735
1,15,1015,AL,Calhoun County,11826.11499,0.237,4.939333114,5.738422295,0.094372108,0.226,0.359,5.9,0.326,0.4915747394,0.1617061711,0.1428571429,729.7,30.48733838,0.1190381426,0.0006161701,0.0006785994,0.0014188897,5234,0.35,0.39,0.8507351172,0.5797626092,0.0705017301,0.167,4.755530595,0.3098093418,13.3796928,756.0665443,92.51958156,9.4,0,0.1295658932,0.1088205475,0.8459101565,0.299,118.8934256,72.82500707,587.1190918,57.89740985,0.157,0.191,0.127,272,0.172,0.15398073,19.33493677,21.93895486,0.3826870475,0.1514969701,0.0297716313,0.0007050384,0.932304,0.0692913386,2.945480411,2.536704979,2.638109971,3.180664485,2.786958409,0.2098309829,-4322.30736,0.7779538205,50259,0.5995933779,46.15851365,41.35313814,0.1880459221,4.953467427,10.34621167,21.54905198,26.10874555,31.73913044,170.8142257,0.7038050794,0.0973958823,0.7976532352,113469,0.2140055874,0.1853369643,0.2119433502,0.0052701619,0.0088306057,0.0011192484,0.0411389895,0.713957116,0.0070033995,0.5191021336,0.3369682556
1,17,1017,AL,Chambers County,11059.44388,0.253,5.109041175,5.812173502,0.1265306122,0.236,0.395,7,0.369,0.567295046,0.1419632837,0.3,721.7,37.35495152,0.1216412769,0.0004510736,0.0002129925,0.0000304275,4068,0.37,0.43,0.8258382062,0.5436427851,0.0679483139,0.262,4.460929467,0.3178607467,18.0429422,528.9997362,101.0221771,9.3,0,0.1513133555,0.111589279,0.8741805879,0.307,147.4346187,73.76110499,530.5810496,86.39930881,0.163,0.19,0.139,407,0.154,0.0810298845,10.02667095,25.05424882,0.4051051084,0.1542930591,0.0278014184,0.0001521375,0.8700680272,0.1266375546,2.634106621,2.390015562,2.114966844,3.089914321,2.497681651,0.1647682154,-13302.8415,0.7525638024,39318,0.7098375451,33.28904344,32.81947979,0.3280431355,6.048387097,10.61620713,26.66157777,26.89939626,26.12903226,114.6675128,0.672434104,0.0979982997,0.7452510676,32865,0.2052943861,0.2059333638,0.3995435874,0.0034991632,0.0114711699,0.0005781226,0.0278411684,0.5478472539,0.0035301975,0.5233531112,0.4914803449
1,19,1019,AL,Cherokee County,11395.89838,0.237,5.189940043,6.046963395,0.0829238329,0.247,0.343,7.2,0.36,0.246527377,0.1639801671,0.1777777778,274.9,32.86565443,0.1298178525,0.0003817377,0.000152126,0.0002281889,5476,0.4,0.49,0.8282400878,0.532718894,0.0460349171,0.233,4.475409836,0.2044453344,8.398228737,330.438792,98.3828322,9.2,1,0.1098538425,0.094894027,0.8598863414,0.464,76.72438416,74.0144009,543.2865087,65.34305102,0.164,0.198,0.114,118.6,0.161,0.0500865225,17.82939813,31.86813187,0.3786397167,0.160482313,0.0367789392,0.0007606298,0.92,,2.784754319,,,2.789467063,2.646747671,0.0672417485,521.2178,0.7736446379,50388,0.6109828073,41.99295023,41.13744997,0.1699214099,6.205673759,8.241758242,22.91301933,25.36432393,15,1.023964257,0.7822997416,0.0650170307,0.749907715,26294,0.1848710732,0.2427169697,0.0411120408,0.0070738572,0.0047159048,0.0003042519,0.0183311782,0.9145052103,0.0110410728,0.5043736214,0.8573627304
